"iddate","year","idgeo","isoalpha3","fuente","indicator","area","quintile","sex","education_level","age","ethnicity","disability","migration","value","level","se","cv","sample","quality_check"
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","men","Total","00_04","Total","Total","Total",0.202871859802596,21150,0.0012454626128913,0.613915904405471,1901,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","men","Total","05_14","Total","Total","Total",0.211519690083275,55474,0.000797446372173775,0.37700810352919,4729,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","men","Total","15_24","Total","Total","Total",0.319633660908079,79817,0.000933203197658689,0.291960238169991,4448,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","men","Total","25_64","Total","Total","Total",0.303402839629067,115821,0.000744075210465847,0.245243324477627,6671,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","men","Total","65+","Total","Total","Total",0.319760874255905,25193,0.00166156059195374,0.51962598483015,1409,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","men","Total","00_04","Total","Total","Total",0.483271695809845,67298,0.001339125890704,0.277095866013828,1704,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","men","Total","05_14","Total","Total","Total",0.474624085891923,173290,0.000826414830360102,0.174119867685831,4312,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","men","Total","15_24","Total","Total","Total",0.523877536737164,202102,0.000804088418761472,0.153487859733313,4433,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","men","Total","25_64","Total","Total","Total",0.475251645663136,365392,0.000569533998778176,0.11983840644749,8285,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","men","Total","65+","Total","Total","Total",0.455734189066989,56949,0.00140888026683061,0.309145177304993,1436,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","women","Total","00_04","Total","Total","Total",0.2160518444666,21670,0.00129948776229664,0.601470339447867,1807,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","women","Total","05_14","Total","Total","Total",0.208184662994654,54087,0.000796552197050546,0.382618097602609,4582,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","women","Total","15_24","Total","Total","Total",0.295624189118603,70180,0.000936559776213196,0.316807558612009,4308,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","women","Total","25_64","Total","Total","Total",0.301276965760823,134434,0.000686853156722697,0.227980640666693,7995,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","rural","Total","women","Total","65+","Total","Total","Total",0.326723644058879,27945,0.00160370760577127,0.490845286202263,1535,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","women","Total","00_04","Total","Total","Total",0.457242224410146,64553,0.00132584007127256,0.289964487199958,1685,""
"year",2012,"country","SLV","SLV-EHPM","vulnerable","urban","Total","women","Total","05_14","Total","Total","Total",0.500576628252307,181869,0.000829517706002685,0.165712432260137,4199,""
