Pais,source,year,availability,person
DOM,IPUMS,2015,NA,
DOM,IPUMS,2017,NA,
DOM,IPUMS,2018,NA,
DOM,IPUMS,2020,NA,
ECU,IPUMS,1960,NA,
ECU,IPUMS,1961,NA,
ECU,IPUMS,1962,1,
ECU,IPUMS,1963,NA,
ECU,IPUMS,1964,NA,
ECU,IPUMS,1970,NA,
ECU,IPUMS,1971,NA,
ECU,IPUMS,1972,NA,
ECU,IPUMS,1973,NA,
ECU,IPUMS,1974,1,
ECU,IPUMS,1975,NA,
ECU,IPUMS,1976,NA,
ECU,IPUMS,1980,NA,
ECU,IPUMS,1981,NA,
ECU,IPUMS,1982,1,
ECU,IPUMS,1984,NA,
ECU,IPUMS,1985,NA,
ECU,IPUMS,1988,NA,
ECU,IPUMS,1990,1,
ECU,IPUMS,1991,NA,
ECU,IPUMS,1992,NA,
ECU,IPUMS,1993,NA,
ECU,IPUMS,1994,NA,
ECU,IPUMS,1995,NA,
ECU,IPUMS,1996,NA,
ECU,IPUMS,2000,NA,
ECU,IPUMS,2001,1,David
ECU,IPUMS,2002,NA,
ECU,IPUMS,2003,NA,
ECU,IPUMS,2004,NA,
ECU,IPUMS,2005,NA,
ECU,IPUMS,2006,NA,
ECU,IPUMS,2007,NA,
ECU,IPUMS,2010,1,David
ECU,IPUMS,2011,NA,
ECU,IPUMS,2012,NA,
ECU,IPUMS,2013,NA,
ECU,IPUMS,2015,NA,
ECU,IPUMS,2017,NA,
ECU,IPUMS,2018,NA,
ECU,IPUMS,2020,NA,
GTM,IPUMS/IDB,1960,NA,
GTM,IPUMS/IDB,1961,NA,
GTM,IPUMS/IDB,1962,NA,
GTM,IPUMS/IDB,1963,1,
GTM,IPUMS/IDB,1964,NA,
GTM,IPUMS/IDB,1970,NA,
GTM,IPUMS/IDB,1971,NA,
GTM,IPUMS/IDB,1972,NA,
GTM,IPUMS/IDB,1973,1,
GTM,IPUMS/IDB,1974,NA,
GTM,IPUMS/IDB,1975,NA,
GTM,IPUMS/IDB,1976,NA,
GTM,IPUMS/IDB,1980,NA,
GTM,IPUMS/IDB,1981,1,
GTM,IPUMS/IDB,1982,NA,
GTM,IPUMS/IDB,1984,NA,
GTM,IPUMS/IDB,1985,NA,
GTM,IPUMS/IDB,1988,NA,
GTM,IPUMS/IDB,1990,NA,
GTM,IPUMS/IDB,1991,NA,
GTM,IPUMS/IDB,1992,NA,
GTM,IPUMS/IDB,1993,NA,
GTM,IPUMS/IDB,1994,1,
GTM,IPUMS/IDB,1995,NA,
GTM,IPUMS/IDB,1996,NA,
GTM,IPUMS/IDB,2000,NA,
GTM,IPUMS/IDB,2001,NA,
GTM,IPUMS/IDB,2002,1,David
GTM,IPUMS/IDB,2003,NA,
GTM,IPUMS/IDB,2004,NA,
GTM,IPUMS/IDB,2005,NA,
GTM,IPUMS/IDB,2006,NA,
GTM,IPUMS/IDB,2007,NA,
GTM,IPUMS/IDB,2010,NA,
GTM,IPUMS/IDB,2011,NA,
GTM,IPUMS/IDB,2012,NA,
GTM,IPUMS/IDB,2013,NA,
GTM,IPUMS/IDB,2015,NA,
GTM,IPUMS/IDB,2017,NA,
GTM,IPUMS/IDB,2018,1,
GTM,IPUMS/IDB,2020,NA,
GUY,IDB,1960,NA,
GUY,IDB,1961,NA,
GUY,IDB,1962,NA,
GUY,IDB,1963,NA,
GUY,IDB,1964,NA,
GUY,IDB,1970,NA,
GUY,IDB,1971,NA,
GUY,IDB,1972,NA,
GUY,IDB,1973,NA,
GUY,IDB,1974,NA,
GUY,IDB,1975,NA,
GUY,IDB,1976,NA,
GUY,IDB,1980,NA,
GUY,IDB,1981,NA,
GUY,IDB,1982,NA,
GUY,IDB,1984,NA,
GUY,IDB,1985,NA,
GUY,IDB,1988,NA,
GUY,IDB,1990,NA,
GUY,IDB,1991,0,
GUY,IDB,1992,NA,
GUY,IDB,1993,NA,
GUY,IDB,1994,NA,
GUY,IDB,1995,NA,
GUY,IDB,1996,NA,
GUY,IDB,2000,NA,
GUY,IDB,2001,NA,
GUY,IDB,2002,0,
GUY,IDB,2003,NA,
GUY,IDB,2004,NA,
GUY,IDB,2005,NA,
GUY,IDB,2006,NA,
GUY,IDB,2007,NA,
GUY,IDB,2010,NA,
GUY,IDB,2011,NA,
GUY,IDB,2012,0,
